"","dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"12495","10-24",1,"belted",1,"m",40,"driver",0,0
"10281","10-24",1,"none",0,"f",41,"driver",0,1
"19393","10-24",1,"belted",0,"m",54,"driver",0,3
"22289","10-24",1,"belted",1,"m",55,"driver",1,0
"21638","25-39",1,"none",1,"m",41,"driver",1,3
"16528","40-54",1,"none",1,"f",18,"driver",0,3
"15615","10-24",1,"belted",0,"m",39,"driver",0,0
"4867","40-54",1,"belted",0,"f",30,"driver",0,1
"26211","10-24",1,"belted",1,"f",77,"pass",0,0
"4092","10-24",1,"belted",1,"f",37,"driver",1,2
"18823","40-54",1,"none",1,"f",16,"pass",0,2
"18986","40-54",1,"belted",0,"m",37,"driver",1,3
"11609","25-39",1,"belted",0,"f",19,"pass",0,1
"14176","10-24",1,"belted",1,"f",23,"driver",1,0
"18184","10-24",1,"belted",0,"f",29,"driver",0,1
"3897","10-24",1,"belted",1,"f",35,"pass",0,3
"7746","40-54",1,"belted",1,"m",48,"driver",0,3
"206","1-9km/h",1,"belted",0,"m",43,"driver",0,0
"22139","25-39",1,"belted",1,"f",75,"driver",1,0
"13883","25-39",1,"belted",1,"m",51,"driver",1,3
"15577","55+",1,"belted",1,"f",16,"driver",1,3
"9060","10-24",1,"belted",1,"f",21,"driver",0,1
"19422","25-39",1,"belted",0,"m",42,"driver",0,2
"7550","55+",1,"belted",1,"m",22,"driver",1,2
"12686","55+",1,"belted",1,"m",25,"driver",1,2
"12277","10-24",1,"belted",1,"m",79,"driver",0,1
"936","10-24",1,"belted",1,"f",38,"driver",1,1
"1415","10-24",1,"belted",0,"m",21,"driver",0,0
"17427","10-24",1,"belted",1,"m",35,"driver",1,2
"2681","10-24",1,"none",0,"m",66,"driver",0,1
"18159","25-39",1,"none",1,"m",49,"driver",1,3
"1876","40-54",1,"belted",0,"f",45,"driver",1,1
"8514","25-39",1,"belted",1,"f",57,"pass",1,1
"17758","10-24",1,"belted",1,"f",25,"driver",0,0
"15626","25-39",1,"belted",1,"m",38,"driver",0,0
"24441","10-24",1,"belted",0,"m",33,"driver",0,0
"4080","25-39",1,"belted",1,"f",50,"driver",1,0
"13267","40-54",1,"belted",0,"m",43,"driver",1,3
"16900","25-39",1,"none",1,"m",85,"driver",1,1
"8810","25-39",1,"belted",1,"f",38,"driver",0,1
"2873","10-24",1,"none",1,"m",57,"driver",0,3
"8667","40-54",1,"belted",0,"f",17,"driver",0,1
"2954","10-24",1,"belted",1,"f",29,"driver",1,1
"23183","10-24",1,"belted",1,"m",37,"driver",0,0
"23099","10-24",1,"belted",1,"m",34,"driver",0,1
"13906","25-39",1,"belted",0,"f",43,"driver",0,3
"6956","25-39",1,"belted",1,"m",27,"driver",1,1
"15685","25-39",1,"belted",1,"f",59,"driver",1,3
"8546","10-24",1,"belted",1,"f",54,"driver",0,0
"9223","10-24",1,"belted",0,"f",21,"driver",0,3
"14744","25-39",1,"belted",0,"m",48,"driver",0,3
"9256","25-39",1,"none",1,"f",63,"driver",1,2
"16859","25-39",1,"belted",0,"m",42,"driver",0,0
"6921","10-24",1,"none",1,"f",28,"driver",0,2
"23276","25-39",1,"belted",0,"f",44,"driver",0,1
"12550","10-24",1,"none",1,"m",64,"driver",0,3
"22531","25-39",1,"belted",0,"m",36,"driver",0,0
"19061","10-24",1,"belted",1,"f",36,"driver",0,1
"13011","10-24",1,"belted",0,"m",18,"driver",0,0
"605","10-24",1,"none",0,"f",79,"pass",0,3
"6237","10-24",1,"belted",1,"m",53,"driver",0,0
"22158","25-39",1,"belted",1,"f",38,"driver",1,3
"13489","10-24",1,"belted",1,"m",84,"driver",0,0
"8716","25-39",1,"belted",0,"f",83,"driver",1,3
"11418","25-39",1,"none",1,"m",19,"driver",0,2
"18381","40-54",1,"none",1,"m",38,"driver",1,2
"25081","1-9km/h",1,"none",1,"m",27,"pass",0,0
"1294","25-39",1,"none",1,"m",18,"driver",0,3
"384","10-24",1,"belted",1,"f",36,"driver",0,0
"17640","10-24",1,"belted",1,"m",27,"driver",0,0
"5206","10-24",1,"none",0,"m",17,"driver",1,1
"3342","10-24",1,"belted",0,"m",69,"driver",0,2
"6480","10-24",1,"belted",1,"m",18,"driver",0,0
"12264","25-39",1,"none",0,"f",53,"driver",0,1
"9250","25-39",1,"none",1,"f",79,"driver",1,3
"21362","10-24",1,"belted",0,"m",42,"driver",0,1
"19066","10-24",1,"belted",1,"m",54,"driver",0,0
"39","10-24",1,"belted",1,"f",64,"driver",0,2
"10904","40-54",1,"none",1,"m",21,"driver",0,3
"8302","10-24",1,"belted",1,"f",19,"driver",1,1
"10648","10-24",1,"belted",0,"f",24,"driver",0,3
"11477","10-24",1,"belted",1,"m",78,"driver",0,0
"13821","10-24",1,"belted",0,"f",59,"driver",0,3
"20828","25-39",1,"belted",1,"m",43,"driver",1,0
"24833","10-24",1,"belted",0,"f",21,"driver",0,0
"9547","10-24",1,"belted",1,"f",27,"driver",1,2
"12533","10-24",1,"belted",1,"f",28,"driver",1,2
"10124","25-39",1,"none",1,"m",19,"driver",0,1
"21969","10-24",1,"none",1,"m",34,"driver",1,0
"7421","25-39",1,"none",0,"m",17,"pass",0,3
"23234","40-54",1,"none",0,"m",38,"pass",0,2
"22320","55+",1,"belted",1,"m",36,"driver",0,3
"8290","25-39",1,"belted",1,"m",86,"driver",0,3
"17053","25-39",1,"belted",1,"m",71,"driver",0,3
"19084","25-39",1,"belted",1,"m",37,"driver",1,1
"709","10-24",1,"belted",0,"m",30,"driver",0,1
"19392","25-39",1,"belted",1,"m",51,"driver",0,0
"18410","10-24",1,"belted",0,"m",19,"driver",1,1
"8590","40-54",1,"none",0,"m",32,"pass",0,0
"12284","10-24",1,"belted",1,"f",17,"pass",1,3
"8922","10-24",1,"none",1,"m",23,"driver",0,3
"21199","55+",1,"belted",0,"m",16,"driver",0,2
"14934","25-39",1,"belted",0,"f",31,"driver",0,1
"12242","10-24",1,"belted",1,"m",70,"driver",1,3
"9554","10-24",1,"belted",1,"m",19,"driver",1,0
"5305","25-39",1,"belted",1,"m",49,"pass",0,3
"12731","25-39",1,"belted",0,"m",43,"driver",0,0
"4751","25-39",1,"none",1,"m",20,"driver",1,0
"8746","10-24",1,"belted",1,"f",17,"driver",0,0
"12303","10-24",1,"belted",1,"f",21,"driver",1,3
"17455","40-54",1,"none",1,"f",26,"driver",1,1
"6233","55+",1,"belted",1,"f",33,"driver",1,3
"19212","10-24",1,"belted",1,"m",65,"pass",0,0
"22157","25-39",1,"none",0,"m",61,"driver",0,1
"5452","40-54",1,"none",0,"f",42,"driver",0,3
"12365","25-39",1,"none",1,"f",49,"driver",0,3
"3071","25-39",1,"belted",1,"m",28,"driver",0,0
"6121","25-39",1,"belted",1,"m",18,"pass",1,2
"10115","10-24",1,"belted",0,"f",18,"driver",0,1
"1453","25-39",1,"belted",1,"m",42,"driver",0,3
"19107","10-24",1,"belted",1,"m",80,"driver",0,1
"9980","40-54",1,"belted",0,"f",17,"driver",0,3
"8756","10-24",1,"belted",0,"f",77,"driver",1,1
"10805","40-54",1,"none",0,"f",20,"driver",0,0
"22947","1-9km/h",1,"belted",0,"m",35,"driver",0,0
"18420","25-39",1,"belted",1,"m",31,"driver",0,1
"18860","40-54",1,"belted",1,"m",32,"driver",0,1
"21322","25-39",1,"belted",1,"m",27,"driver",1,3
"13853","10-24",1,"belted",0,"f",72,"driver",1,3
"13307","25-39",1,"belted",1,"f",88,"driver",1,3
"913","10-24",1,"belted",1,"m",47,"driver",1,3
"12391","25-39",1,"belted",0,"m",19,"driver",1,1
"25293","10-24",1,"belted",1,"f",49,"driver",1,2
"21847","25-39",1,"belted",1,"f",20,"driver",1,2
"358","25-39",1,"none",1,"f",20,"driver",1,1
"11191","25-39",1,"belted",1,"m",64,"driver",0,3
"14301","25-39",1,"none",1,"f",48,"pass",0,3
"2470","10-24",1,"belted",1,"f",26,"driver",1,3
"9734","25-39",1,"none",1,"f",17,"pass",0,1
"14966","40-54",1,"belted",1,"f",22,"driver",1,2
"24373","40-54",1,"belted",0,"m",22,"driver",1,3
"24062","10-24",1,"belted",0,"f",55,"pass",0,2
"22173","10-24",1,"belted",1,"f",24,"driver",0,0
"19395","40-54",1,"none",1,"f",28,"driver",0,3
"14788","40-54",1,"none",1,"m",20,"driver",1,2
"20502","55+",1,"none",1,"m",22,"driver",1,3
"21897","10-24",1,"none",1,"m",18,"driver",1,0
"1310","25-39",1,"none",1,"m",22,"driver",0,0
"20557","10-24",1,"belted",0,"f",64,"driver",0,0
"7911","25-39",1,"belted",0,"f",73,"driver",0,3
"23327","10-24",1,"belted",1,"f",82,"driver",0,3
"4947","10-24",1,"belted",1,"m",31,"pass",1,0
"23630","10-24",1,"belted",1,"f",49,"driver",0,1
"6843","1-9km/h",1,"none",0,"m",27,"pass",0,3
"4685","40-54",1,"none",1,"f",85,"driver",0,3
"10460","25-39",1,"belted",1,"f",29,"driver",0,3
"11265","10-24",1,"belted",0,"f",28,"driver",0,1
"6162","40-54",1,"none",0,"m",20,"driver",0,3
"23252","25-39",1,"belted",1,"m",38,"driver",1,0
"2511","10-24",1,"none",1,"f",18,"driver",1,3
"17598","25-39",1,"belted",1,"f",20,"pass",0,2
"3792","10-24",1,"belted",0,"m",30,"driver",1,0
"5040","10-24",1,"belted",0,"m",60,"driver",0,0
"8167","25-39",1,"belted",0,"m",55,"driver",0,1
"483","55+",1,"none",0,"m",24,"driver",0,3
"15303","25-39",1,"none",1,"m",24,"driver",1,3
"22503","10-24",1,"belted",1,"m",62,"driver",1,3
"7447","25-39",1,"none",1,"f",16,"driver",0,3
"12616","10-24",1,"none",1,"m",18,"driver",0,1
"3690","40-54",1,"belted",1,"f",20,"pass",1,1
"25090","1-9km/h",1,"none",0,"m",17,"driver",0,2
"4139","40-54",1,"belted",1,"f",20,"driver",1,1
"21319","55+",1,"belted",0,"f",46,"driver",0,3
"20487","25-39",1,"belted",0,"m",22,"driver",1,1
"14637","10-24",1,"belted",1,"m",80,"driver",0,3
"12953","10-24",1,"belted",1,"m",18,"pass",1,0
"8213","10-24",1,"belted",1,"f",20,"driver",0,2
"17207","10-24",1,"belted",0,"f",66,"driver",0,1
"4648","10-24",1,"belted",1,"f",19,"driver",0,1
"9176","25-39",1,"belted",0,"m",18,"pass",0,1
"12599","10-24",1,"belted",1,"m",30,"driver",1,1
"20390","25-39",1,"belted",0,"f",63,"driver",0,3
"12803","25-39",1,"belted",1,"f",45,"driver",0,3
"12720","10-24",1,"belted",1,"m",16,"driver",0,2
"23429","10-24",1,"none",0,"m",20,"driver",0,0
"19906","10-24",1,"belted",0,"f",39,"pass",0,1
"8147","10-24",1,"belted",0,"m",20,"driver",0,1
"22895","25-39",1,"belted",1,"m",78,"driver",1,4
"18364","10-24",1,"belted",0,"m",24,"pass",0,1
"22803","10-24",1,"belted",1,"m",50,"driver",1,1
"23764","10-24",1,"belted",1,"m",42,"driver",0,0
"25202","25-39",1,"belted",1,"m",20,"driver",0,3
"16153","10-24",1,"belted",0,"m",33,"driver",0,1
"25266","25-39",1,"none",1,"f",39,"driver",1,2
"20514","10-24",1,"belted",1,"m",44,"driver",1,0
"21070","10-24",1,"none",1,"f",34,"driver",1,3
"3466","10-24",1,"none",1,"m",21,"driver",1,1
"23220","10-24",1,"belted",1,"m",45,"driver",0,2
"4250","10-24",1,"belted",1,"f",74,"driver",0,1
"5958","25-39",1,"none",0,"m",27,"driver",1,2
"5895","55+",1,"belted",0,"m",65,"pass",0,3
"64","25-39",1,"none",0,"f",78,"driver",0,3
"14913","10-24",1,"belted",0,"m",24,"pass",0,0
"14508","10-24",1,"belted",1,"f",33,"driver",1,0
"17433","10-24",1,"belted",1,"f",54,"pass",1,1
"17300","1-9km/h",1,"belted",1,"m",23,"driver",0,0
"4730","10-24",1,"none",0,"m",18,"driver",0,0
"11369","25-39",1,"none",0,"f",25,"pass",0,0
"18148","10-24",1,"belted",0,"m",21,"driver",0,3
"23399","10-24",1,"belted",1,"f",41,"driver",1,3
"3865","10-24",1,"none",1,"f",43,"driver",1,1
"21398","55+",1,"belted",1,"m",44,"driver",1,3
"24878","10-24",1,"belted",1,"m",20,"driver",0,0
"17304","10-24",1,"belted",1,"m",49,"driver",0,3
"2622","10-24",1,"belted",1,"m",21,"driver",0,0
"21726","25-39",1,"belted",0,"f",42,"pass",0,3
"9739","10-24",1,"none",1,"f",43,"driver",1,2
"512","1-9km/h",1,"belted",0,"m",37,"driver",0,2
"4829","25-39",1,"belted",1,"m",27,"pass",1,3
"23852","25-39",1,"belted",1,"m",23,"driver",1,2
"5035","25-39",1,"belted",0,"m",17,"driver",0,3
"17937","25-39",1,"none",1,"f",35,"driver",1,0
"22372","10-24",1,"belted",1,"f",39,"pass",1,2
"24384","25-39",1,"belted",0,"f",21,"driver",0,3
"4660","1-9km/h",1,"belted",0,"f",29,"pass",0,0
"2435","10-24",1,"belted",1,"m",21,"pass",0,0
"5529","25-39",1,"belted",1,"m",22,"driver",0,2
"1106","10-24",1,"belted",1,"m",17,"driver",0,0
"8111","55+",1,"belted",0,"f",35,"driver",0,1
"5062","10-24",1,"belted",1,"m",57,"driver",1,1
"3755","25-39",1,"none",0,"m",16,"pass",0,0
"4404","10-24",1,"belted",0,"f",85,"driver",1,1
"17749","10-24",1,"none",1,"m",48,"driver",0,1
"12440","10-24",1,"belted",0,"m",62,"driver",0,1
"2007","10-24",1,"belted",1,"m",16,"driver",0,0
"23424","10-24",1,"belted",1,"f",30,"driver",1,1
"254","10-24",1,"belted",1,"f",74,"driver",0,0
"2278","40-54",1,"belted",0,"f",25,"driver",1,3
"3925","10-24",1,"belted",1,"f",32,"driver",1,3
"9751","10-24",1,"none",1,"f",27,"driver",0,0
"8516","10-24",1,"belted",1,"m",18,"driver",0,0
"10808","25-39",1,"belted",1,"m",16,"pass",0,3
"12280","10-24",1,"belted",0,"f",39,"driver",0,3
"5534","10-24",1,"none",0,"m",38,"driver",0,3
"8918","10-24",1,"none",0,"m",31,"driver",0,1
"9438","25-39",1,"belted",0,"m",40,"driver",0,3
"18079","1-9km/h",1,"belted",0,"m",25,"driver",0,0
"20267","10-24",1,"belted",1,"m",39,"driver",0,0
"24882","40-54",1,"none",1,"f",34,"driver",0,0
"17409","10-24",1,"belted",1,"f",40,"driver",1,2
"4811","10-24",1,"belted",1,"f",36,"driver",1,3
"26181","10-24",1,"belted",1,"f",52,"driver",1,1
"11656","10-24",1,"belted",1,"m",18,"driver",0,0
"3345","25-39",1,"belted",1,"f",28,"driver",0,0
"17567","10-24",1,"belted",1,"m",17,"pass",0,0
"4501","10-24",1,"none",1,"m",18,"driver",0,0
"22809","10-24",1,"belted",0,"m",29,"driver",0,0
"16992","55+",1,"none",1,"m",21,"driver",1,3
"5597","10-24",1,"belted",1,"f",67,"driver",0,1
"12608","25-39",1,"belted",1,"m",17,"pass",0,2
"6946","40-54",1,"none",1,"f",21,"driver",0,3
"4562","10-24",1,"belted",0,"m",56,"driver",0,0
"5051","25-39",1,"none",1,"f",27,"driver",1,3
"756","10-24",1,"belted",1,"m",26,"pass",0,1
"22926","10-24",1,"belted",1,"f",18,"driver",0,3
"14526","55+",1,"belted",1,"f",58,"driver",0,3
"11740","10-24",1,"belted",1,"f",38,"driver",1,1
"24419","10-24",1,"belted",0,"f",80,"pass",1,3
"3733","10-24",1,"none",1,"m",19,"driver",0,1
"11502","10-24",1,"belted",1,"m",60,"driver",0,0
"11318","55+",1,"none",1,"m",24,"pass",1,0
"20483","10-24",1,"belted",1,"f",42,"pass",0,1
"12043","10-24",1,"belted",1,"f",67,"driver",1,2
"21056","25-39",1,"none",1,"m",24,"driver",1,2
"6747","25-39",1,"none",1,"f",31,"pass",0,3
"8439","55+",1,"belted",1,"m",17,"driver",0,3
"2879","40-54",1,"none",1,"m",28,"pass",0,3
"5900","25-39",1,"belted",0,"f",23,"driver",0,1
"25219","25-39",1,"none",1,"f",51,"driver",1,3
"11748","10-24",1,"belted",1,"m",26,"driver",0,0
"20761","10-24",1,"none",1,"m",35,"driver",0,2
"18173","10-24",1,"belted",0,"f",21,"pass",0,2
"4740","1-9km/h",1,"belted",0,"f",28,"driver",0,1
"7990","25-39",1,"none",1,"m",60,"driver",1,3
"23551","25-39",1,"belted",1,"m",18,"pass",0,0
"20611","10-24",1,"belted",0,"m",18,"driver",0,3
"11231","55+",1,"belted",1,"m",26,"driver",0,3
"17224","25-39",1,"belted",1,"f",39,"pass",0,0
"826","25-39",1,"belted",1,"m",78,"driver",1,2
"21378","10-24",1,"belted",1,"f",77,"pass",1,1
"13730","10-24",1,"belted",1,"m",39,"driver",1,4
"25060","25-39",1,"none",0,"m",19,"pass",0,1
"20600","25-39",1,"belted",0,"f",32,"pass",1,2
"6503","25-39",1,"belted",1,"f",23,"driver",0,0
"21626","10-24",1,"belted",1,"f",38,"driver",0,0
"10909","25-39",1,"none",0,"m",82,"driver",0,3
"24818","25-39",1,"belted",1,"m",64,"driver",0,0
"11492","10-24",1,"belted",0,"f",35,"driver",0,1
"13767","25-39",1,"belted",1,"m",33,"driver",1,2
"8970","10-24",1,"belted",1,"m",43,"driver",1,1
"23901","10-24",1,"belted",0,"m",18,"driver",0,0
"22919","10-24",1,"belted",0,"f",58,"driver",0,0
"25082","25-39",1,"belted",1,"m",37,"driver",1,0
"17293","10-24",1,"none",1,"m",32,"driver",0,0
"10056","10-24",1,"belted",1,"m",16,"driver",1,0
"15382","25-39",1,"belted",0,"m",60,"driver",0,2
"4223","25-39",1,"none",1,"m",82,"driver",0,2
"22444","25-39",1,"belted",1,"f",24,"driver",1,1
"23320","10-24",1,"none",0,"f",43,"driver",1,2
"19340","10-24",1,"none",1,"f",19,"driver",0,3
"21576","10-24",1,"belted",0,"m",28,"driver",1,0
"9692","10-24",1,"belted",0,"m",35,"driver",0,0
"24210","10-24",1,"none",1,"m",52,"driver",1,3
"14387","25-39",1,"belted",0,"m",24,"driver",0,1
"13195","25-39",1,"belted",0,"m",86,"driver",0,1
"1634","10-24",1,"belted",1,"m",87,"driver",0,1
"24840","25-39",1,"belted",1,"f",42,"driver",1,1
"14471","10-24",1,"belted",1,"f",33,"driver",0,0
"4331","40-54",1,"belted",0,"f",17,"driver",0,3
"10716","25-39",1,"belted",1,"m",71,"driver",0,2
"11173","25-39",1,"none",1,"m",53,"pass",1,3
"17131","10-24",1,"none",1,"f",21,"driver",1,3
"25024","10-24",1,"belted",0,"m",55,"driver",0,0
"8364","1-9km/h",1,"belted",0,"m",29,"driver",0,2
"12947","25-39",1,"belted",1,"f",20,"pass",0,1
"23496","25-39",1,"belted",1,"f",35,"pass",1,3
"24869","10-24",1,"belted",1,"f",35,"driver",1,1
"21840","10-24",1,"belted",0,"f",40,"driver",0,2
"14407","40-54",1,"none",1,"f",18,"pass",0,1
"6799","25-39",1,"belted",0,"m",38,"driver",0,3
"19601","10-24",1,"belted",1,"m",56,"driver",0,5
"3543","1-9km/h",1,"belted",1,"m",18,"driver",0,0
"25596","10-24",1,"belted",0,"f",17,"driver",0,3
"16000","10-24",1,"belted",1,"f",82,"driver",0,0
"24","10-24",1,"none",0,"m",36,"pass",0,1
"6530","25-39",1,"belted",1,"m",20,"driver",0,3
"8169","25-39",1,"belted",1,"f",28,"pass",0,1
"6668","10-24",1,"belted",0,"f",41,"pass",0,2
"21312","25-39",1,"none",0,"m",23,"driver",0,2
"25319","40-54",1,"none",1,"f",20,"driver",1,2
"1850","25-39",1,"none",1,"m",43,"driver",1,1
"17751","10-24",1,"belted",0,"m",79,"pass",0,1
"11532","25-39",1,"belted",1,"m",24,"driver",1,1
"23241","10-24",1,"belted",0,"m",21,"pass",0,1
"2259","55+",1,"none",1,"m",61,"driver",0,3
"22152","25-39",1,"belted",1,"m",87,"driver",1,2
"275","25-39",1,"belted",0,"f",17,"driver",0,3
"8320","40-54",1,"none",1,"f",30,"driver",1,2
"21318","10-24",1,"belted",1,"f",28,"driver",0,1
"24252","10-24",1,"none",0,"f",36,"driver",0,0
"1665","10-24",1,"belted",0,"m",17,"pass",0,3
"13446","25-39",1,"belted",1,"m",49,"driver",0,1
"1787","10-24",1,"belted",1,"f",21,"pass",0,0
"21769","10-24",1,"belted",1,"m",22,"driver",0,0
"19753","25-39",1,"belted",0,"f",19,"driver",1,3
"23172","10-24",1,"belted",0,"m",17,"driver",1,2
"7427","10-24",1,"belted",0,"f",28,"driver",0,0
"23308","25-39",1,"belted",0,"f",36,"driver",1,3
"4417","25-39",1,"none",1,"m",42,"pass",0,1
"8522","10-24",1,"none",0,"f",29,"driver",1,2
"19967","10-24",1,"none",0,"m",26,"driver",0,3
"11585","10-24",1,"belted",1,"f",31,"driver",1,2
"12097","10-24",1,"belted",0,"m",37,"driver",1,3
"7981","10-24",1,"belted",1,"f",18,"driver",0,0
"4063","10-24",1,"belted",1,"m",76,"driver",0,0
"23506","25-39",1,"belted",1,"m",29,"pass",0,0
"14292","25-39",1,"belted",1,"m",52,"driver",1,2
"25278","10-24",1,"belted",1,"m",26,"driver",1,0
"6207","10-24",1,"belted",1,"m",21,"driver",0,0
"7000","10-24",1,"none",1,"m",23,"pass",0,0
"10560","25-39",1,"belted",0,"f",16,"driver",0,2
"3029","25-39",1,"none",0,"f",21,"driver",0,1
"15734","25-39",1,"belted",0,"f",38,"driver",0,3
"4155","25-39",1,"belted",1,"f",26,"driver",0,1
"22875","10-24",1,"belted",1,"f",19,"pass",0,1
"22671","10-24",1,"belted",0,"f",25,"driver",0,0
"20167","10-24",1,"belted",0,"m",56,"driver",0,3
"5689","1-9km/h",1,"none",1,"m",16,"pass",0,2
"19350","25-39",1,"belted",1,"m",64,"driver",1,1
"20801","10-24",1,"belted",0,"f",76,"driver",0,1
"18333","25-39",1,"belted",0,"m",30,"pass",0,3
"4323","10-24",1,"belted",0,"m",44,"driver",0,1
"9490","10-24",1,"none",1,"m",25,"driver",0,0
"5230","10-24",1,"none",1,"f",26,"driver",1,0
"17814","10-24",1,"belted",1,"f",38,"driver",0,3
"23675","25-39",1,"belted",1,"f",35,"driver",0,1
"3772","10-24",1,"belted",0,"f",42,"driver",0,1
"15473","40-54",1,"none",0,"m",22,"driver",0,3
"7402","10-24",1,"belted",0,"f",55,"driver",0,0
"24858","55+",1,"none",1,"m",39,"driver",0,3
"8242","25-39",1,"belted",1,"f",18,"driver",1,2
"17796","25-39",1,"none",1,"m",18,"pass",0,2
"21960","10-24",1,"none",1,"f",44,"pass",0,1
"21895","25-39",1,"none",0,"f",24,"pass",0,1
"11016","10-24",1,"belted",1,"f",19,"driver",1,3
"17790","10-24",1,"none",1,"m",32,"driver",1,2
"9938","10-24",1,"belted",0,"f",26,"driver",0,1
"16722","10-24",1,"none",1,"m",29,"driver",0,0
"380","25-39",1,"belted",0,"m",62,"driver",1,3
"2334","40-54",1,"belted",1,"m",87,"driver",0,2
"26028","25-39",1,"belted",1,"m",20,"driver",0,1
"14302","10-24",1,"belted",0,"m",36,"driver",0,0
"14841","25-39",1,"belted",1,"m",20,"driver",0,1
"15844","10-24",1,"none",0,"f",97,"driver",0,5
"6857","25-39",1,"none",1,"m",34,"driver",0,3
"7810","25-39",1,"none",1,"f",49,"driver",0,2
"4244","25-39",1,"belted",1,"m",71,"driver",1,1
"4194","10-24",1,"belted",0,"m",37,"driver",0,1
"22432","55+",1,"none",0,"m",41,"pass",1,3
"2805","25-39",1,"belted",1,"f",22,"driver",1,2
"11171","10-24",1,"belted",1,"f",41,"driver",0,2
"23690","40-54",1,"belted",1,"m",27,"driver",0,2
"15704","40-54",1,"belted",1,"m",52,"driver",1,3
"15454","10-24",1,"belted",0,"m",20,"pass",0,0
"15971","10-24",1,"none",0,"m",18,"pass",0,3
"21885","10-24",1,"none",0,"m",45,"driver",0,2
"18701","10-24",1,"belted",0,"f",36,"driver",0,1
"23404","10-24",1,"belted",0,"m",43,"pass",0,2
"25333","40-54",1,"belted",1,"m",66,"driver",1,2
"10331","10-24",1,"belted",1,"f",65,"pass",0,1
"8655","10-24",1,"none",0,"m",35,"pass",0,1
"7043","10-24",1,"belted",0,"f",22,"driver",1,0
"13138","10-24",1,"belted",0,"f",17,"driver",0,0
"15097","10-24",1,"belted",0,"f",48,"pass",0,2
"21482","25-39",1,"belted",1,"m",18,"driver",0,5
"3421","10-24",1,"none",1,"f",21,"driver",0,1
"14099","40-54",1,"belted",0,"m",58,"driver",0,0
"1191","40-54",1,"belted",1,"m",19,"driver",0,1
"5791","10-24",1,"belted",1,"f",23,"driver",1,0
"12975","25-39",1,"belted",0,"f",36,"driver",0,1
"7384","25-39",1,"belted",1,"m",26,"driver",0,2
"6679","10-24",1,"none",1,"f",17,"pass",0,1
"26033","10-24",1,"belted",1,"f",18,"pass",0,1
"1261","10-24",1,"belted",0,"f",64,"driver",0,0
"1368","10-24",1,"belted",0,"f",47,"driver",0,1
"21920","10-24",1,"none",1,"m",34,"pass",0,1
"15715","10-24",1,"belted",1,"f",26,"pass",0,0
"869","10-24",1,"belted",0,"f",32,"driver",0,3
"5986","10-24",1,"belted",1,"m",53,"driver",0,1
"25701","40-54",1,"belted",1,"f",77,"pass",1,3
"19947","25-39",1,"belted",0,"m",80,"driver",1,2
"8759","25-39",1,"none",1,"f",19,"driver",1,1
"3684","25-39",1,"belted",1,"f",27,"driver",0,1
"8214","10-24",1,"belted",1,"m",78,"driver",0,2
"10337","25-39",1,"belted",1,"f",24,"driver",0,3
"1798","25-39",1,"none",1,"m",19,"driver",0,3
"18199","10-24",1,"none",1,"m",46,"driver",0,3
"10112","25-39",1,"belted",0,"f",19,"driver",0,2
"16894","25-39",1,"belted",0,"f",20,"pass",0,2
"11625","10-24",1,"belted",0,"m",32,"driver",0,0
"12081","25-39",1,"belted",1,"f",17,"driver",0,3
"23885","10-24",1,"belted",0,"f",46,"driver",0,2
"4261","10-24",1,"belted",1,"m",17,"driver",0,2
"19799","10-24",1,"none",0,"m",20,"driver",0,3
"12066","10-24",1,"belted",1,"m",21,"pass",0,0
"12227","25-39",1,"none",0,"f",85,"pass",0,2
"3721","10-24",1,"belted",0,"m",42,"driver",0,1
"3160","40-54",1,"belted",1,"f",17,"driver",1,1
"21428","25-39",1,"none",1,"m",30,"pass",1,3
"20358","10-24",1,"belted",1,"m",58,"driver",0,1
"15381","10-24",1,"none",0,"m",29,"driver",0,3
"6661","25-39",1,"belted",1,"m",23,"driver",1,2
"11641","10-24",1,"belted",1,"f",58,"driver",1,2
"7253","10-24",1,"belted",0,"f",27,"driver",1,2
"6221","10-24",1,"belted",0,"f",33,"driver",0,1
"2534","10-24",1,"belted",1,"f",26,"driver",1,1
"1445","10-24",1,"belted",1,"f",16,"driver",0,1
"11244","10-24",1,"belted",0,"f",45,"driver",0,2
"2110","10-24",1,"belted",0,"m",24,"pass",0,0
"8671","25-39",1,"belted",0,"m",38,"driver",0,1
"8304","10-24",1,"belted",1,"m",16,"driver",0,2
"24369","10-24",1,"belted",1,"m",21,"pass",1,3
"19355","25-39",1,"none",1,"m",31,"driver",0,3
"8360","10-24",1,"belted",0,"f",57,"pass",1,3
"25539","10-24",1,"none",1,"m",47,"driver",1,3
"9027","10-24",1,"none",1,"f",39,"driver",0,0
"15030","25-39",1,"belted",1,"f",22,"pass",1,1
"4646","10-24",1,"belted",0,"f",42,"driver",0,1
"16324","25-39",1,"belted",1,"f",41,"driver",1,2
"21290","25-39",1,"none",1,"m",52,"driver",0,3
"17787","10-24",1,"belted",1,"f",33,"driver",0,0
"23304","10-24",1,"none",1,"f",64,"pass",0,3
"23705","25-39",1,"belted",1,"m",34,"driver",0,1
"25909","40-54",1,"belted",1,"f",18,"driver",0,3
"10271","25-39",1,"none",1,"f",17,"pass",0,3
